id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
79100,3433,2024-05-17T20:34:46,running,,,,,,,50,true
79102,3433,2024-05-17T20:35:01,running,,,,,,,56,true
79104,3433,2024-05-17T20:35:16,running,,,,,,,44,true
79106,3433,2024-05-17T20:35:32,running,,,,,,,54,true
79108,3433,2024-05-17T20:35:47,running,,,,,,,52,true
79110,3433,2024-05-17T20:36:02,running,,,,,,,53,true
79112,3433,2024-05-17T20:36:17,running,,,,,,,50,true
79114,3433,2024-05-17T20:36:33,running,,,,,,,51,true
79116,3433,2024-05-17T20:36:48,running,,,,,,,44,true
79118,3433,2024-05-17T20:37:03,running,,,,,,,48,true
79120,3433,2024-05-17T20:37:19,running,,,,,,,47,true
79122,3433,2024-05-17T20:37:34,running,,,,,,,51,true
79124,3433,2024-05-17T20:37:49,running,,,,,,,47,true
79125,3433,2024-05-17T20:38:04,running,,,,,,,54,true
79126,3433,2024-05-17T20:38:20,running,,,,,,,40,true
79128,3433,2024-05-17T20:38:35,running,,,,,,,199,true
79130,3433,2024-05-17T20:38:50,running,,,,,,,54,true
79132,3433,2024-05-17T20:39:05,running,,,,,,,198,true
79134,3433,2024-05-17T20:39:21,running,,,,,,,46,true
79136,3433,2024-05-17T20:39:36,running,,,,,,,44,true
79138,3433,2024-05-17T20:39:51,running,,,,,,,52,true
79140,3433,2024-05-17T20:40:07,running,,,,,,,47,true
79142,3433,2024-05-17T20:40:22,running,,,,,,,46,true
79144,3433,2024-05-17T20:40:38,running,,,,,,,40,true
79146,3433,2024-05-17T20:40:53,running,,,,,,,49,true
79148,3433,2024-05-17T20:41:08,running,,,,,,,57,true
79150,3433,2024-05-17T20:41:24,running,,,,,,,43,true
79152,3433,2024-05-17T20:41:39,running,,,,,,,52,true
79154,3433,2024-05-17T20:41:54,running,,,,,,,52,true
79156,3433,2024-05-17T20:42:09,running,,,,,,,39,true
79158,3433,2024-05-17T20:42:25,running,,,,,,,42,true
79160,3433,2024-05-17T20:42:40,running,,,,,,,54,true
79162,3433,2024-05-17T20:42:55,running,,,,,,,46,true
79164,3433,2024-05-17T20:43:10,running,,,,,,,51,true
79166,3433,2024-05-17T20:43:26,running,,,,,,,45,true
79168,3433,2024-05-17T20:43:41,running,,,,,,,56,true
79170,3433,2024-05-17T20:43:56,running,,,,,,,55,true
79172,3433,2024-05-17T20:44:12,running,,,,,,,49,true
79174,3433,2024-05-17T20:44:27,running,,,,,,,102,true
79176,3433,2024-05-17T20:44:42,running,,,,,,,64,true
79178,3433,2024-05-17T20:44:57,running,,,,,,,203,true
79180,3433,2024-05-17T20:45:13,running,,,,,,,54,true
79182,3433,2024-05-17T20:45:28,running,,,,,,,181,true
79184,3433,2024-05-17T20:45:43,running,,,,,,,54,true
79186,3433,2024-05-17T20:45:59,running,,,,,,,54,true
79188,3433,2024-05-17T20:46:14,running,,,,,,,50,true
79190,3433,2024-05-17T20:46:29,running,,,,,,,54,true
79192,3433,2024-05-17T20:46:44,running,,,,,,,38,true
79194,3433,2024-05-17T20:47:00,running,,,,,,,42,true
79196,3433,2024-05-17T20:47:15,running,,,,,,,180,true
79198,3433,2024-05-17T20:47:30,running,,,,,,,42,true
79200,3433,2024-05-17T20:47:45,running,,,,,,,49,true
79202,3433,2024-05-17T20:48:01,running,,,,,,,41,true
79204,3433,2024-05-17T20:48:16,running,,,,,,,47,true
79206,3433,2024-05-17T20:48:31,running,,,,,,,43,true
79208,3433,2024-05-17T20:48:47,running,,,,,,,49,true
79210,3433,2024-05-17T20:49:02,running,,,,,,,48,true
79212,3433,2024-05-17T20:49:17,running,,,,,,,56,true
79214,3433,2024-05-17T20:49:32,running,,,,,,,42,true
79216,3433,2024-05-17T20:49:48,running,,,,,,,63,true
79218,3433,2024-05-17T20:50:03,running,,,,,,,47,true
79220,3433,2024-05-17T20:50:18,running,,,,,,,40,true
79222,3433,2024-05-17T20:50:34,running,,,,,,,45,true
79224,3433,2024-05-17T20:50:49,running,,,,,,,54,true
